#	marketplace	コイン名	grade	year	country	material	BL(円)	BL(USD)	想定利益(円)	ROI%	Yahoo参照価格	参照日	証跡状況	marketing_status	比較タイプ	URL
55	Noble	South Africa, Republic, proof set 1/10 and 1/4 kru		1984	South Africa	gold	348704	2324.7	65425	16.8	505000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/2016
56	Noble Numismatics	Great Britain, George III, gold guinea, fifth bust		1792	GB	gold	334795	2232.0	62725	16.8	485000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/570
57	Noble	South Africa, Republic, proof half krugerrand, 198		1984	South Africa	gold	348704	2324.7	65425	16.8	505000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/2018
58	Noble	South Africa, Republic, proof half krugerrand, 198		1983	South Africa	gold	348704	2324.7	65425	16.8	505000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/2017
59	Noble	Turkey, Muhammad V, 250 kurush, AH1327, Yr 5 (imit		1909	Turkey	gold	348704	2324.7	65425	16.8	505000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/2030
60	Noble Numismatics	Switzerland, Confederation, twenty francs, 1890B, 		1890	Switzerland	gold	272900	1819.3	50710	16.6	198000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/n.php?p=lot&sid=10505&lot=2021
61	Noble Numismatics	Switzerland, Confederation, twenty francs, 1893B, 		1893	Switzerland	gold	272900	1819.3	50710	16.6	198000		READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/n.php?p=lot&sid=10505&lot=2022
62	Noble Numismatics	Papua New Guinea, mint gold 100 kina, 1975 (KM.9).		1975	GB	gold	220740	1471.6	40585	16.3	321000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/479
63	Noble Numismatics	Papua New Guinea, proof gold 100 kina, 1979. In ca		1979	GB	gold	220740	1471.6	40585	16.3	321000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/482
64	Heritage Auctions	Poland: Danzig. Sigismund III gold Proof Restrike 	PR69	1614	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/poland-danzig-sigismund-iii-gold-proof-restrike-5-ducat-1614-1977-pr69-ultra-cameo-ngc-/a/61607-24018.s?ic4=ListView-ShortDescription-071515
65	Heritage Auctions	Poland: Danzig. Sigismund III gold Restrike 5 Duca		1996	Poland	gold	195009	1300.1	35590	16.2	284000		READY	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/poland/danzig/poland-danzig-sigismund-iii-gold-restrike-5-ducat-1614-1996-pr69-ultra-cameo-ngc-/a/61607-24019.s
66	Noble Numismatics	Queen Victoria, second type, 1863. Very fine or be		1863	UNKNOWN	gold	192088	1280.6	35023	16.2	279800		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/636
67	Noble Numismatics	George VI, 1939, kangaroo or second (new) reverse.		1939	AU	gold	192088	1280.6	35023	16.2	279800	2026-01-04	READY	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/1165
68	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS65 PCGS,	MS65	1930	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms65-pcgs-/a/61607-24013.s?ic4=ListView-ShortDescription-071515
69	Noble Numismatics	Edward VII, 1910. Frosty mint bloom, light gold an		1910	UNKNOWN	gold	192088	1280.6	35023	16.2	279800		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/1051
70	Noble Numismatics	George V, 1911. Subdued original mint bloom with g		1911	UNKNOWN	gold	192088	1280.6	35023	16.2	279800		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/991
71	Noble Numismatics	George V, 1911. Subdued original mint bloom with g		1911	UNKNOWN	gold	192088	1280.6	35023	16.2	279800		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/991
72	Heritage Auctions	Danzig: Free City gold 25 Gulden 1930 MS65 NGC,	MS65	1930	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1930-ms65-ngc-/a/61607-24015.s?ic4=ListView-ShortDescription-071515
73	Noble Numismatics	Queen Victoria, second type, 1863. Very fine or be		1863	UNKNOWN	gold	192088	1280.6	35023	16.2	279800		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/636
74	Heritage Auctions	Danzig: Free City gold 25 Gulden 1923 MS62 Proofli	MS62	1923	UNKNOWN	gold	195009	1300.1	35590	16.2	284000		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://coins.ha.com/itm/danzig/danzig-free-city-gold-25-gulden-1923-ms62-prooflike-ngc-/a/61607-24011.s?ic4=ListView-ShortDescription-071515
75	Noble Numismatics	Edward VII, 1910. Frosty mint bloom, light gold an		1910	UNKNOWN	gold	192088	1280.6	35023	16.2	279800		PRICE_NEEDED	MARKETING_REVIEW	TYPE_ONLY	https://www.numisbids.com/sale/10505/lot/1051
